code,name,easting,northing,latitude,longitude
E01005544,Rochdale 025D,386775,404261,53.53483,-2.20101
E01005545,Rochdale 025E,387276,404274,53.53496,-2.19345
E01005549,Rochdale 025F,386757,404848,53.54011,-2.2013
E01032906,Salford 022G,382716,398500,53.48293,-2.26193
E01032907,Salford 022H,382256,398636,53.4836,-2.26971
E01032909,Salford 022I,383533,398744,53.48515,-2.24962
E01005257,Manchester 011B,387532,399863,53.49532,-2.1894
E01005098,Manchester 001A,384585,404424,53.53623,-2.23406
E01005202,Manchester 009A,386261,401409,53.50918,-2.20864
E01032687,Salford 022F,383115,398650,53.48429,-2.25592
E01032684,Salford 022E,382792,399139,53.48868,-2.26081
E01004826,Bolton 011C,370945,410757,53.59258,-2.44044
E01004827,Bolton 021A,370053,408076,53.56843,-2.45366
E01004824,Bolton 005E,371691,410966,53.5945,-2.42919
E01004825,Bolton 011B,371320,410915,53.59402,-2.43479
E01004822,Bolton 016B,371540,410522,53.5905,-2.43143
E01004823,Bolton 016C,371181,409780,53.58381,-2.43679
E01004820,Bolton 011A,371286,410500,53.59028,-2.43526
E01004828,Bolton 023A,370171,407861,53.5665,-2.45186
E01004829,Bolton 023B,370410,407720,53.56525,-2.44823
E01006316,Wigan 001B,354639,410582,53.58984,-2.68674
E01006397,Wigan 011C,354727,405819,53.54705,-2.68472
E01006317,Wigan 001C,356009,410747,53.59144,-2.66608
E01006314,Wigan 003D,353814,408432,53.57044,-2.69889
E01006395,Wigan 021C,355692,402460,53.51693,-2.66968
E01006315,Wigan 001A,355077,411096,53.5945,-2.68021
E01006394,Wigan 021B,355282,402828,53.52021,-2.67592
E01006312,Wigan 003B,354655,408668,53.57265,-2.68623
E01006393,Wigan 021A,355928,402827,53.52026,-2.66618
E01006313,Wigan 003C,354196,408316,53.56944,-2.69311
E01006392,Wigan 009E,359221,405866,53.54783,-2.61691
E01006310,Wigan 012D,359035,404593,53.53638,-2.61956
E01006391,Wigan 007D,359771,406639,53.55482,-2.60872
E01006311,Wigan 012E,360373,405826,53.54757,-2.59953
E01006390,Wigan 006E,359102,406693,53.55526,-2.61881
E01006318,Wigan 003E,354739,409067,53.57623,-2.68501
E01006399,Wigan 011E,354452,404709,53.53705,-2.68871
E01006319,Wigan 001D,355761,410315,53.58754,-2.66977
E01006398,Wigan 011D,354672,405377,53.54307,-2.68549
E01006276,Wigan 013E,361801,403831,53.52974,-2.57773
E01006277,Wigan 016D,362441,403607,53.52777,-2.56805
E01006274,Wigan 016B,362232,404136,53.53251,-2.57127
E01006275,Wigan 016C,362445,404438,53.53524,-2.5681
E01006272,Wigan 013C,361728,404661,53.5372,-2.57894
E01006273,Wigan 013D,362636,404860,53.53905,-2.56525
E01006270,Wigan 016A,363052,404422,53.53514,-2.55893
E01006271,Wigan 013B,362093,405077,53.54096,-2.57348
E01006278,Wigan 019A,363721,403256,53.52471,-2.5487
E01006279,Wigan 019B,364172,403101,53.52334,-2.54187
E01004886,Bolton 014C,365040,410429,53.58927,-2.52962
E01004885,Bolton 014B,365918,410033,53.58577,-2.51631
E01004884,Bolton 007E,365119,411569,53.59952,-2.52855
E01004883,Bolton 007D,364383,410908,53.59353,-2.53959
E01004882,Bolton 007C,364169,411192,53.59607,-2.54286
E01004881,Bolton 004B,363658,411797,53.60147,-2.55065
E01004880,Bolton 029E,372138,406449,53.55392,-2.42202
E01004889,Bolton 004D,363851,412189,53.605,-2.54778
E01004888,Bolton 004C,364255,412195,53.60509,-2.54166
E01005736,Salford 013E,371867,400837,53.50302,-2.42298
E01005734,Salford 013C,372509,400748,53.5027,-2.41593
E01005735,Salford 013D,372591,401032,53.50526,-2.41472
E01005739,Salford 013G,371960,400398,53.50216,-2.42176
E01004776,Bolton 031A,365244,407156,53.55986,-2.52616
E01004777,Bolton 004A,363554,411339,53.59734,-2.55217
E01004774,Bolton 005D,371160,412021,53.60395,-2.43731
E01004775,Bolton 014A,365862,409072,53.57713,-2.51704
E01004772,Bolton 005C,370765,412259,53.60607,-2.44329
E01004773,Bolton 003D,371573,412142,53.60506,-2.43107
E01004770,Bolton 003B,372084,412210,53.6057,-2.42337
E01004778,Bolton 009A,361269,411150,53.59548,-2.58667
E01004779,Bolton 007A,363165,411215,53.5962,-2.55803
E01033217,Bolton 016E,371337,409253,53.57908,-2.43437
E01033218,Bolton 028F,366178,406881,53.55745,-2.51204
E01033219,Bolton 028G,366919,407487,53.56295,-2.50092
E01004936,Bolton 031C,365291,406189,53.55117,-2.52534
E01004937,Bolton 035D,364589,404919,53.53972,-2.5358
E01004934,Bolton 035B,364796,404448,53.5355,-2.53263
E01004935,Bolton 035C,365630,404535,53.53634,-2.52005
E01004933,Bolton 035A,365336,404173,53.53306,-2.52444
E01004938,Bolton 031D,365372,405382,53.54393,-2.52403
E01004939,Bolton 031E,364919,405336,53.54349,-2.53086
E01005716,Salford 013A,372598,401579,53.51017,-2.41466
E01006346,Wigan 038E,360195,397563,53.47328,-2.60117
E01006347,Wigan 040E,362268,397223,53.47038,-2.56989
E01006345,Wigan 039D,361801,397624,53.47395,-2.57697
E01006342,Wigan 038C,360895,398096,53.47813,-2.59067
E01006343,Wigan 039C,362245,397740,53.47503,-2.5703
E01006340,Wigan 039B,361283,398309,53.48007,-2.58487
E01006341,Wigan 040D,362714,397680,53.47452,-2.56323
E01006348,Wigan 039E,361543,397139,53.47004,-2.58513
E01006349,Wigan 015A,357778,404851,53.5386,-2.63856
E01006236,Wigan 007A,362075,407482,53.56257,-2.57404
E01006237,Wigan 002D,356682,410597,53.59016,-2.65588
E01006234,Wigan 004C,361630,408296,53.56985,-2.58087
E01006235,Wigan 004D,360981,408261,53.56949,-2.59066
E01006232,Wigan 004B,357907,409694,53.58213,-2.63726
E01006233,Wigan 002C,357089,409091,53.57665,-2.64953
E01006230,Wigan 002B,356924,409641,53.58158,-2.6521
E01006231,Wigan 004A,361035,408660,53.57308,-2.58989
E01006238,Wigan 002E,356326,410323,53.58766,-2.66124
E01006239,Wigan 017A,367084,403713,53.52903,-2.49802
E01004846,Bolton 025A,371461,407272,53.56129,-2.43232
E01004847,Bolton 025B,371100,407424,53.56263,-2.43778
E01004844,Bolton 020D,367324,409080,53.57729,-2.49497
E01004845,Bolton 018D,369574,409282,53.57924,-2.461
E01004842,Bolton 012C,369032,410034,53.58597,-2.46926
E01004843,Bolton 018C,369221,409817,53.58403,-2.46639
